seccion,metrica,PR,COP,EOG
PERFIL,Nombre,Permian Resources Corporation,ConocoPhillips,"EOG Resources, Inc."
PERFIL,Sector / Industria (Yahoo),Energy / Oil & Gas E&P,Energy / Oil & Gas E&P,Energy / Oil & Gas E&P
PERFIL,CEDEAR (.BA),,COP.BA,
PERFIL,Precio actual (USD),23.31,132.14,148.09
PERFIL,Market Cap (B USD),19.5,158.8,77.7
CUANTITATIVO 3Y,Retorno anualizado,0.2919,0.116,0.1239
CUANTITATIVO 3Y,Volatilidad anualizada,0.3666,0.2904,0.2711
CUANTITATIVO 3Y,Sharpe ratio,0.796,0.399,0.457
CUANTITATIVO 3Y,VaR diario 95%,-0.0345,-0.0276,-0.0285
CUANTITATIVO 3Y,Max drawdown,-0.3991,-0.363,-0.2372
CUANTITATIVO 3Y,Skewness,-0.339,-0.315,-0.26
CUANTITATIVO 3Y,Kurtosis (exceso),5.151,4.219,2.782
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,0.848,0.465,0.369
CUANTITATIVO 3Y,Alpha anual vs SPY,0.1137,0.0182,0.0462
CUANTITATIVO 3Y,R² vs SPY,0.126,0.06,0.044
CUANTITATIVO 3Y,Beta vs XLE,1.367,1.191,1.083
CUANTITATIVO 3Y,Alpha anual vs XLE,0.0507,-0.0941,-0.0671
CUANTITATIVO 3Y,R² vs XLE,0.662,0.8,0.759
FUNDAMENTAL,P/E trailing,15.04,17.48,11.53
FUNDAMENTAL,P/E forward,10.68,13.87,10.16
FUNDAMENTAL,PEG (trailing),1.41,1.04,1.19
FUNDAMENTAL,P/S,3.4,2.46,2.91
FUNDAMENTAL,P/B,1.63,2.43,2.56
FUNDAMENTAL,EV/EBITDA,5.37,6.56,5.67
FUNDAMENTAL,P/E aprox actual / percentil 3y,15.04 (99.50%),17.48 (99.50%),11.53 (99.10%)
FUNDAMENTAL,Margen bruto,0.4105,0.2509,0.6338
FUNDAMENTAL,Margen operativo,0.3274,0.2356,0.2921
FUNDAMENTAL,Margen neto,0.1846,0.1351,0.2205
FUNDAMENTAL,ROE,0.091,0.1235,0.1669
FUNDAMENTAL,ROA,0.0522,0.0653,0.0961
FUNDAMENTAL,Deuda/Patrimonio,0.358,0.364,0.282
FUNDAMENTAL,Deuda/EBITDA,1.0,0.92,0.76
FUNDAMENTAL,Liquidez corriente,0.78,1.3,1.63
FUNDAMENTAL,FCF (B USD),0.56,7.24,3.45
FUNDAMENTAL,Crecimiento ingresos YoY,0.551,0.355,0.587
FUNDAMENTAL,Altman Z (zona),3.8600 (SEGURA),5.7400 (SEGURA),7.2700 (SEGURA)
FUNDAMENTAL,Target price / upside,25.79 (+10.70%),145.33 (+10.00%),159.81 (+7.9000%)
TECNICO,SMA20 / SMA50 / SMA200,21.68 / 20.29 / 18.02,124.22 / 115.71 / 109.48,144.76 / 139.06 / 125.67
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),66.4 (NEUTRAL),67.2 (NEUTRAL),56.4 (NEUTRAL)
TECNICO,MACD hist,0.208,0.836,0.56
TECNICO,Bollinger %B,0.82,0.79,0.66
TECNICO,ATR14 (% precio),2.87,2.43,2.51
TECNICO,ADX14 (regimen),26.4 (TENDENCIA FUERTE),28.8 (TENDENCIA FUERTE),18.6 (SIN TENDENCIA)
TECNICO,Posicion rango 52s (%),95.3,94.7,90.8
TECNICO,Distancia a maximo 52s (%),-2.4,-2.0,-3.2
TECNICO,Momentum 1M / 3M (%),18.10 / 21.60,16.60 / 15.50,6.1000 / 11.10
TECNICO,Momentum 6M / 12M (%),34.60 / 71.30,21.80 / 38.80,22.70 / 26.20
TECNICO,Volumen relativo (vs 20d),0.39,0.35,0.34
NOTICIAS,Noticias / score neto,10 / +4,10 / +4,10 / +3
NOTICIAS,Bullish / Bearish / Neutrales,4 / 0 / 6,5 / 1 / 4,5 / 2 / 3
