seccion,metrica,DE,PCAR,OSK
PERFIL,Nombre,Deere & Company,PACCAR Inc,Oshkosh Corporation
PERFIL,Sector / Industria (Yahoo),Industrials / Farm & Heavy Construction Machinery,Industrials / Farm & Heavy Construction Machinery,Industrials / Farm & Heavy Construction Machinery
PERFIL,CEDEAR (.BA),DE.BA,,
PERFIL,Precio actual (USD),632.51,129.76,154.68
PERFIL,Market Cap (B USD),170.7,68.3,9.6
CUANTITATIVO 3Y,Retorno anualizado,0.2151,0.2159,0.2317
CUANTITATIVO 3Y,Volatilidad anualizada,0.281,0.269,0.3645
CUANTITATIVO 3Y,Sharpe ratio,0.766,0.803,0.636
CUANTITATIVO 3Y,VaR diario 95%,-0.0238,-0.0226,-0.0321
CUANTITATIVO 3Y,Max drawdown,-0.199,-0.2775,-0.3666
CUANTITATIVO 3Y,Skewness,0.767,0.02,0.77
CUANTITATIVO 3Y,Kurtosis (exceso),4.857,4.516,7.793
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,0.72,0.895,1.27
CUANTITATIVO 3Y,Alpha anual vs SPY,0.0639,0.0278,-0.0351
CUANTITATIVO 3Y,R² vs SPY,0.154,0.26,0.285
CUANTITATIVO 3Y,Beta vs XLI,0.963,1.016,1.517
CUANTITATIVO 3Y,Alpha anual vs XLI,0.0201,0.0101,-0.0756
CUANTITATIVO 3Y,R² vs XLI,0.327,0.398,0.483
FUNDAMENTAL,P/E trailing,35.2,27.49,17.8
FUNDAMENTAL,P/E forward,28.16,18.18,11.06
FUNDAMENTAL,PEG (trailing),1.51,1.29,6.3
FUNDAMENTAL,P/S,3.56,2.46,0.9
FUNDAMENTAL,P/B,6.1,3.36,2.11
FUNDAMENTAL,EV/EBITDA,24.26,22.79,9.93
FUNDAMENTAL,P/E aprox actual / percentil 3y,35.20 (98.70%),27.49 (97.10%),17.80 (95.20%)
FUNDAMENTAL,Margen bruto,0.3648,0.1666,0.1745
FUNDAMENTAL,Margen operativo,0.2111,0.1041,0.0921
FUNDAMENTAL,Margen neto,0.1125,0.0835,0.0621
FUNDAMENTAL,ROE,0.1937,0.1233,0.1428
FUNDAMENTAL,ROA,0.0474,0.0536,0.0642
FUNDAMENTAL,Deuda/Patrimonio,2.476,0.812,0.243
FUNDAMENTAL,Deuda/EBITDA,5.51,4.13,0.93
FUNDAMENTAL,Liquidez corriente,2.31,3.08,1.94
FUNDAMENTAL,FCF (B USD),3.23,3.03,0.57
FUNDAMENTAL,Crecimiento ingresos YoY,-0.111,0.005,0.067
FUNDAMENTAL,Altman Z (zona),3.5800 (SEGURA),4.7000 (SEGURA),7.5500 (SEGURA)
FUNDAMENTAL,Target price / upside,665.35 (+5.2000%),141.03 (+8.7000%),167.32 (+8.2000%)
TECNICO,SMA20 / SMA50 / SMA200,613.01 / 607.65 / 558.49,131.28 / 126.64 / 117.91,151.65 / 147.71 / 143.33
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),56.4 (NEUTRAL),50.8 (NEUTRAL),55.8 (NEUTRAL)
TECNICO,MACD hist,2.963,-0.6,-0.033
TECNICO,Bollinger %B,0.78,0.3,0.66
TECNICO,ATR14 (% precio),3.25,2.43,3.36
TECNICO,ADX14 (regimen),20.5 (TENDENCIA MODERADA),19.2 (SIN TENDENCIA),20.4 (TENDENCIA MODERADA)
TECNICO,Posicion rango 52s (%),88.2,82.8,63.2
TECNICO,Distancia a maximo 52s (%),-4.0,-5.9,-12.4
TECNICO,Momentum 1M / 3M (%),-1.1000 / 19.80,-5.9000 / 15.90,1.8000 / 19.90
TECNICO,Momentum 6M / 12M (%),2.0000 / 31.30,4.8000 / 32.30,-9.5000 / 10.30
TECNICO,Volumen relativo (vs 20d),0.36,0.1,0.16
NOTICIAS,Noticias / score neto,10 / +5,10 / +0,10 / +2
NOTICIAS,Bullish / Bearish / Neutrales,5 / 0 / 5,1 / 1 / 8,2 / 0 / 8
