seccion,metrica,SONY,AAPL
PERFIL,Nombre,Sony Group Corporation,Apple Inc.
PERFIL,Sector / Industria (Yahoo),Technology / Consumer Electronics,Technology / Consumer Electronics
PERFIL,CEDEAR (.BA),SONY.BA,
PERFIL,Precio actual (USD),23.88,309.59
PERFIL,Market Cap (B USD),139.8,4518.4
CUANTITATIVO 3Y,Retorno anualizado,0.1762,0.225
CUANTITATIVO 3Y,Volatilidad anualizada,0.2906,0.2685
CUANTITATIVO 3Y,Sharpe ratio,0.606,0.838
CUANTITATIVO 3Y,VaR diario 95%,-0.0276,-0.0252
CUANTITATIVO 3Y,Max drawdown,-0.3615,-0.3336
CUANTITATIVO 3Y,Skewness,0.302,0.585
CUANTITATIVO 3Y,Kurtosis (exceso),1.926,11.362
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,0.844,1.072
CUANTITATIVO 3Y,Alpha anual vs SPY,-0.0011,-0.0002
CUANTITATIVO 3Y,R² vs SPY,0.198,0.375
CUANTITATIVO 3Y,Beta vs XLK,0.399,0.567
CUANTITATIVO 3Y,Alpha anual vs XLK,0.0584,0.0576
CUANTITATIVO 3Y,R² vs XLK,0.118,0.279
FUNDAMENTAL,P/E trailing,20.41,35.5
FUNDAMENTAL,P/E forward,20.07,32.46
FUNDAMENTAL,PEG (trailing),1.61,2.5
FUNDAMENTAL,P/S,0.01,9.68
FUNDAMENTAL,P/B,2.66,42.07
FUNDAMENTAL,EV/EBITDA,0.12,27.1
FUNDAMENTAL,P/E aprox actual / percentil 3y,20.41 (70.60%),35.50 (95.60%)
FUNDAMENTAL,Margen bruto,0.3081,0.4691
FUNDAMENTAL,Margen operativo,0.1168,0.3197
FUNDAMENTAL,Margen neto,-0.0262,0.2692
FUNDAMENTAL,ROE,-0.0403,1.5191
FUNDAMENTAL,ROA,-0.0208,0.3118
FUNDAMENTAL,Deuda/Patrimonio,0.206,1.338
FUNDAMENTAL,Deuda/EBITDA,0.63,0.68
FUNDAMENTAL,Liquidez corriente,1.18,0.89
FUNDAMENTAL,FCF (B USD),1487.94,98.77
FUNDAMENTAL,Crecimiento ingresos YoY,0.082,0.164
FUNDAMENTAL,Altman Z (zona),1.7000 (RIESGO),29.72 (SEGURA)
FUNDAMENTAL,Target price / upside,30.00 (+25.60%),324.45 (+4.8000%)
TECNICO,SMA20 / SMA50 / SMA200,23.42 / 21.79 / 22.96,311.38 / 310.67 / 281.44
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,DEATH CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),60.0 (NEUTRAL),47.6 (NEUTRAL)
TECNICO,MACD hist,-0.022,-0.163
TECNICO,Bollinger %B,0.71,0.45
TECNICO,ATR14 (% precio),2.12,2.33
TECNICO,ADX14 (regimen),33.0 (TENDENCIA FUERTE),15.5 (SIN TENDENCIA)
TECNICO,Posicion rango 52s (%),41.7,73.5
TECNICO,Distancia a maximo 52s (%),-21.1,-8.9
TECNICO,Momentum 1M / 3M (%),5.2000 / 9.2000,-8.9000 / -0.3000
TECNICO,Momentum 6M / 12M (%),11.50 / -15.10,13.10 / 36.80
TECNICO,Volumen relativo (vs 20d),0.27,0.19
NOTICIAS,Noticias / score neto,10 / +5,10 / +0
NOTICIAS,Bullish / Bearish / Neutrales,5 / 0 / 5,2 / 2 / 6
