seccion,metrica,MRVL,AMD,ARM
PERFIL,Nombre,"Marvell Technology, Inc.","Advanced Micro Devices, Inc.",Arm Holdings plc
PERFIL,Sector / Industria (Yahoo),Technology / Semiconductors,Technology / Semiconductors,Technology / Semiconductors
PERFIL,CEDEAR (.BA),MRVL.BA,AMD.BA,ARM.BA
PERFIL,Precio actual (USD),241.85,477.52,243.77
PERFIL,Market Cap (B USD),217.3,779.5,260.3
CUANTITATIVO 3Y,Retorno anualizado,0.7334,0.6838,0.7415
CUANTITATIVO 3Y,Volatilidad anualizada,0.6717,0.5817,0.7686
CUANTITATIVO 3Y,Sharpe ratio,1.092,1.176,0.965
CUANTITATIVO 3Y,VaR diario 95%,-0.0597,-0.0531,-0.0665
CUANTITATIVO 3Y,Max drawdown,-0.6079,-0.63,-0.5397
CUANTITATIVO 3Y,Skewness,0.531,0.843,1.805
CUANTITATIVO 3Y,Kurtosis (exceso),8.268,6.024,15.532
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0,0.0
CUANTITATIVO 3Y,Beta vs SPY,2.533,2.29,2.713
CUANTITATIVO 3Y,Alpha anual vs SPY,0.2012,0.2026,0.1832
CUANTITATIVO 3Y,R² vs SPY,0.334,0.364,0.296
CUANTITATIVO 3Y,Beta vs XLK,1.827,1.66,1.894
CUANTITATIVO 3Y,Alpha anual vs XLK,0.1939,0.1936,0.1861
CUANTITATIVO 3Y,R² vs XLK,0.464,0.511,0.385
FUNDAMENTAL,P/E trailing,83.1,121.5,248.74
FUNDAMENTAL,P/E forward,38.68,30.84,79.64
FUNDAMENTAL,PEG (trailing),1.35,0.98,2.0
FUNDAMENTAL,P/S,24.93,18.87,50.49
FUNDAMENTAL,P/B,11.62,11.59,30.17
FUNDAMENTAL,EV/EBITDA,74.49,77.05,236.55
FUNDAMENTAL,P/E aprox actual / percentil 3y,83.11 (96.50%),121.51 (93.10%),248.74 (91.70%)
FUNDAMENTAL,Margen bruto,0.5102,0.4952,0.9754
FUNDAMENTAL,Margen operativo,0.3965,0.1233,0.1846
FUNDAMENTAL,Margen neto,0.3258,0.1251,0.1837
FUNDAMENTAL,ROE,0.1866,0.0688,0.1091
FUNDAMENTAL,ROA,0.1198,0.0564,0.0845
FUNDAMENTAL,Deuda/Patrimonio,0.335,0.061,0.055
FUNDAMENTAL,Deuda/EBITDA,1.06,0.53,0.39
FUNDAMENTAL,Liquidez corriente,2.01,2.85,6.0
FUNDAMENTAL,FCF (B USD),1.39,6.74,0.95
FUNDAMENTAL,Crecimiento ingresos YoY,0.276,0.501,0.224
FUNDAMENTAL,Altman Z (zona),28.41 (SEGURA),121.94 (SEGURA),344.30 (SEGURA)
FUNDAMENTAL,Target price / upside,266.36 (+10.10%),613.09 (+28.40%),285.72 (+17.20%)
TECNICO,SMA20 / SMA50 / SMA200,215.79 / 232.04 / 146.46,480.35 / 508.92 / 332.00,259.35 / 297.55 / 197.95
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14 (zona),56.8 (NEUTRAL),47.6 (NEUTRAL),40.2 (NEUTRAL)
TECNICO,MACD hist,3.973,-1.022,-1.225
TECNICO,Bollinger %B,0.81,0.46,0.29
TECNICO,ATR14 (% precio),7.52,5.8,7.94
TECNICO,ADX14 (regimen),18.0 (SIN TENDENCIA),10.2 (SIN TENDENCIA),11.2 (SIN TENDENCIA)
TECNICO,Posicion rango 52s (%),70.7,75.9,41.6
TECNICO,Distancia a maximo 52s (%),-23.6,-17.8,-44.5
TECNICO,Momentum 1M / 3M (%),38.60 / 21.70,5.0000 / -3.6000,-0.4000 / -19.50
TECNICO,Momentum 6M / 12M (%),199.10 / 232.20,126.50 / 192.30,85.00 / 76.90
TECNICO,Volumen relativo (vs 20d),0.5,0.41,0.23
NOTICIAS,Noticias / score neto,10 / +4,10 / +5,10 / +5
NOTICIAS,Bullish / Bearish / Neutrales,5 / 1 / 4,5 / 0 / 5,5 / 0 / 5
