ticker,nombre,sector_etf,sector,industria,peso_industria,mcap_B,precio,r1m_pct,r3m_pct,r6m_pct,exceso_r6m_pct,vol60,rsi14,tendencia,score_fuerza,regla_oro_vs_etf,accion,r2_vs_etf,cedear_ba
PR,Permian Resources Corporation,XLE,Energia,Oil & Gas E&P,0.17711993,19.5,23.31,18.1,21.6,34.6,23.6,0.364,66.5,ALCISTA,17.78,CAMBIO DE REGIMEN,SOBRECOMPRADO: NO PERSEGUIR,0.618,
COP,ConocoPhillips,XLE,Energia,Oil & Gas E&P,0.17711993,158.8,132.2,16.6,15.6,21.9,10.8,0.314,67.4,ALCISTA,9.94,NEUTRO,VIGILAR,0.788,COP.BA
EOG,"EOG Resources, Inc.",XLE,Energia,Oil & Gas E&P,0.17711993,77.7,148.12,6.1,11.1,22.8,11.7,0.341,56.4,ALCISTA,8.77,NEUTRO,VIGILAR,0.736,
CNQ,Canadian Natural Resources Limi,XLE,Energia,Oil & Gas E&P,0.17711993,103.5,50.22,13.6,10.9,20.3,9.3,0.331,65.3,ALCISTA,7.6,NEUTRO,VIGILAR,0.566,
FANG,"Diamondback Energy, Inc.",XLE,Energia,Oil & Gas E&P,0.17711993,56.7,202.32,6.9,5.5,22.7,11.6,0.376,53.1,ALCISTA,6.76,NEUTRO,VIGILAR,0.64,
OXY,Occidental Petroleum Corporatio,XLE,Energia,Oil & Gas E&P,0.17711993,58.9,58.94,9.3,4.1,16.8,5.8,0.352,55.1,ALCISTA,3.62,NEUTRO,VIGILAR,0.641,OXY.BA
DVN,Devon Energy Corporation,XLE,Energia,Oil & Gas E&P,0.17711993,52.1,47.33,10.9,7.7,12.4,1.4,0.374,57.5,ALCISTA,2.91,CAMBIO DE REGIMEN,VIGILAR,0.702,
EXE,Expand Energy Corporation,XLE,Energia,Oil & Gas E&P,0.17711993,22.0,95.12,8.1,3.3,-8.7,-19.8,0.273,55.6,BAJISTA,-8.53,CAMBIO DE REGIMEN,VIGILAR,0.198,
EQT,EQT Corporation,XLE,Energia,Oil & Gas E&P,0.17711993,33.8,54.05,5.0,-1.7,-8.4,-19.5,0.287,57.4,BAJISTA,-10.16,CAMBIO DE REGIMEN,VIGILAR,0.206,
TPL,Texas Pacific Land Corporation,XLE,Energia,Oil & Gas E&P,0.17711993,25.8,374.35,-3.9,-7.7,-26.4,-37.5,0.503,48.6,BAJISTA,-20.35,CAMBIO DE REGIMEN,VIGILAR,0.181,
