ticker,ticker_original,sector_json,industria,nombre,moneda,pais,rend_esperado_annual,volatilidad_annual,sharpe,var_95,skewness,kurtosis,ultimo_precio,fund_sector,fund_industry,fund_trailingPE,fund_forwardPE,fund_priceToBook,fund_returnOnEquity,fund_revenueGrowth,fund_earningsGrowth,fund_debtToEquity,fund_freeCashflow,fund_marketCap,fund_recommendationMean,fund_numberOfAnalystOpinions,fund_targetMeanPrice,fund_currentPrice,news_score,news_count,news_bullish,news_bearish
INTC.BA,INTC,Tecnología,Semiconductores,Intel Corporation,ARS,EE.UU.,2.0159863001436196,0.807948665686622,2.4456829797031223,-0.05914875644489074,1.0689030595363873,4.686386744167881,33140.0,Technology,Semiconductors,,51.70749,6.076963,-0.10715,0.254,,48.997,4866375168,557631209472.0,2.59574,40.0,114.05,105.49,4,10,4,0
UGP.BA,UGP,Energía,Refinacion y comercializacion de petróleo y gas,Ultrapar Participações S.A.,ARS,EE.UU.,0.9162929032930766,0.41107267869627934,2.131722560770147,-0.035532238942877645,-0.08110986174134516,0.10826954168228875,9695.0,Energy,Oil & Gas Refining & Marketing,9.706349,10.251637,2.0190125,0.19804001,0.219,0.443,97.688,6001807360,6506471936.0,2.0,7.0,6.723,6.115,3,10,4,1
AMD.BA,AMD,Tecnología,Semiconductores,"Advanced Micro Devices, Inc.",ARS,EE.UU.,1.4354875078917204,0.7072320324121018,1.9731678486510837,-0.05737290794386197,0.8312495056240584,3.847299291322855,76500.0,Technology,Semiconductors,128.70972,32.55234,12.217596,0.10196,0.501,1.595,6.361,8841499648,821551235072.0,1.4902,46.0,613.3348,503.255,4,10,4,0
MRVL.BA,MRVL,Tecnología,Semiconductores,"Marvell Technology, Inc.",ARS,EE.UU.,1.5690067510749477,0.7915144857918586,1.9317482857502932,-0.07067423353901156,0.8877913605850959,7.194117223232602,25060.0,Technology,Semiconductors,74.05033,35.349735,10.607094,0.16028,0.276,-0.804,28.97,2269700096,198061129728.0,1.4186,40.0,256.9142,220.67,7,10,7,0
ADI.BA,ADI,Tecnología,Semiconductores,"Analog Devices, Inc.",ARS,EE.UU.,0.7546968827363716,0.38808309606533237,1.841607866929754,-0.03545883393568898,0.1260965521922263,0.776784918559998,40140.0,Technology,Semiconductors,57.887554,25.634079,5.573744,0.09639,0.372,1.105,25.81,3868954624,,,30.0,457.73334,386.11,7,10,8,1
SLB.BA,SLB,Energía,Equipos y servicios de petróleo y gas,SLB N.V.,ARS,EE.UU.,0.7379515306044069,0.41438713037708425,1.6842982791702157,-0.034986052472395966,0.29318739303454117,2.6226348996366653,27500.0,Energy,Oil & Gas Equipment & Services,26.107317,16.510977,3.046448,0.12909001,0.05,-0.297,47.002,2955124992,79431344128.0,1.6,29.0,61.96552,53.52,5,10,6,1
DAL.BA,DAL,Acciones Industriales,Aerolíneas,DELTA AIR LINES INC CEDEAR EACH,ARS,EE.UU.,0.766506982048478,0.44019579941859244,1.6504177981889954,-0.039210848604913404,0.04053917985966145,0.7272403268518839,18120.0,Industrials,Airlines,14.838499,10.269704,2.727191,0.20125,0.187,-0.254,96.649,2817374976,,,24.0,105.52083,90.96,2,10,3,1
GARO.BA,GARO.BA,Acciones Industriales,Conglomerados,Garovaglio y Zorraquín S.A.,ARS,Argentina,1.196438079793546,0.7656146943171422,1.510470068530989,-0.043053026520602646,4.312791637566111,32.029936289610745,465.0,Industrials,Conglomerates,33.671253,,1.7757444,0.06296,0.259,,15.949,19870142464,20459999232.0,,,,465.0,0,0,0,0
FDX.BA,FDX,Acciones Industriales,Transporte y logistica integrados,FedEx Corporation,ARS,EE.UU.,0.6713868840869406,0.42017224559967037,1.50268584062668,-0.035089077057245725,-2.031615987779762,13.948510627645295,53675.0,Industrials,Integrated Freight & Logistics,18.327856,16.322142,2.579685,0.14846,0.125,-0.043,135.697,5656625152,80476643328.0,1.82143,25.0,352.2261,340.165,-2,10,0,2
PBI.BA,PBI,Acciones Industriales,Transporte y logistica integrados,Pitney Bowes Inc.,ARS,EE.UU.,0.7077725514195815,0.4574622166906447,1.4597326884181947,-0.041227843456657254,-0.07083399151020739,2.316978189015354,26540.0,Industrials,Integrated Freight & Logistics,13.45935,9.087815,-2.628195,,-0.023,1.158,,233828128,2269528320.0,2.8,5.0,19.56,16.555,7,10,7,0
