id,ratio,nivel,A,B,ok,last,z50,pct50,pend50,corr50,beta50,z120,pct120,pend120,corr120,beta120,z200,pct200,pend200,corr200,beta200,z365,pct365,pend365,corr365,beta365,regla_oro,accion
MAC1,DXY (DOP),M1 motor,DX-Y.NYB,-,True,99.9000015258789,-0.74,28.0,0.6,,,0.35,63.3,2.5,,,0.65,75.0,1.8,,,0.29,73.7,-1.5,,,NEUTRO,VIGILAR
MAC2,TNX 10Y,M1 costo dinero,^TNX,-,True,4.696000099182129,1.37,92.0,5.9,,,1.55,96.7,12.1,,,1.93,98.0,14.4,,,2.26,98.9,4.4,,,ALCISTA CONFIRMADA,MANTENER/ACUMULAR
MAC3,Curva IRX/TNX,M1 fase ciclo,^IRX,^TNX,True,0.7872657471508067,-1.54,2.0,-3.0,0.21024790846643834,0.16221324291855385,-1.33,5.8,-8.0,0.21576996843174748,0.10383797443715519,-1.45,3.5,-13.3,0.19586830403637617,0.10158503096836419,-1.64,1.9,-24.4,0.29222816480444996,0.12287572934962201,BAJISTA CONFIRMADA,ROTAR/NO COMPRAR
MAC4,VIX,M1 miedo,^VIX,-,True,14.600000381469728,-1.42,2.0,-10.9,,,-1.28,0.8,-44.5,,,-1.15,4.5,-2.1,,,-0.93,3.3,-23.8,,,BAJISTA CONFIRMADA,ROTAR/NO COMPRAR
MAC5,CRB/TLT inflacion,M1 inflacion,^SPGSCI,TLT,True,8.421142574994503,1.24,90.0,2.3,-0.48257820817166597,-1.4580603005416963,0.45,65.0,0.9,-0.4200051543836315,-1.490028884195752,0.99,79.0,32.4,-0.3476015611496667,-1.073509770778164,1.6,88.5,30.8,-0.2506912568962295,-0.5414492958647548,NEUTRO,VIGILAR
MAC6,GLD/DXY,M1 confirma dolar,GLD,DX-Y.NYB,True,4.048795168268921,1.28,86.0,-6.5,-0.5627719905847011,-3.1309517847060047,-0.36,36.7,-27.4,-0.42219902816431243,-2.1350406006409024,-0.29,43.5,-3.0,-0.4442349664907467,-2.5808825528066572,0.57,68.8,46.4,-0.43880599773566603,-1.6964383905642755,CAMBIO DE REGIMEN,VIGILAR
AA1,SPY/TLT,M2 asset allocation,SPY,TLT,True,9.407989093803364,2.09,96.0,7.3,0.3277997680492637,0.5395350721052821,1.76,98.3,19.9,0.4203999093242985,0.6360253829158822,2.3,99.0,18.0,0.32082181484058364,0.47304739344714486,2.26,99.5,30.0,0.16290909020227842,0.2700036197912307,ALCISTA CONFIRMADA,MANTENER/ACUMULAR
AA2,SPY/GLD,M2 risk on/off,SPY,GLD,True,1.907759470061957,-0.9,20.0,5.9,0.5368548367985803,0.3004503173042854,0.76,66.7,40.1,0.4872475325007395,0.25909649611165086,1.04,80.0,17.5,0.34489676480465514,0.15575120793550806,0.51,61.1,-12.8,0.15113661612585602,0.10352836783851539,CAMBIO DE REGIMEN,VIGILAR
S1,XLE/SPY,S3 Energia,XLE,SPY,True,0.07900425837334185,1.09,82.0,4.1,-0.3093257315552837,-0.49838268337248676,-0.14,48.3,-15.3,-0.4021884617882591,-0.6659340758222192,0.5,67.5,19.6,-0.22688774796590105,-0.3847966775664769,0.9,79.2,13.4,0.35092423081592855,0.4862880515900866,NEUTRO,VIGILAR
S2,XLY/SPY,S3 Discrecional,XLY,SPY,True,0.15261039091766143,-1.01,12.0,-2.8,0.7084303730884414,1.0714458402406535,-1.38,5.0,-12.5,0.7788522320526163,1.1709583355409472,-1.65,3.0,-16.5,0.7746626172540071,1.1629355110673583,-2.2,1.6,-15.3,0.8636354793296006,1.1262701151825407,BAJISTA CONFIRMADA,ROTAR/NO COMPRAR
